slug,name,notes
49-degrees-north,49 Degrees North Mountain Resort,no verifiable Wikipedia article found
alpine-valley-wi,Alpine Valley Resort (WI),no public breakdown
alpine-valley-mi,Alpine Valley Ski Area (MI),no public breakdown
alpine-valley-oh,Alpine Valley Ski Area (OH),"vail-owned, no pct breakdown found"
andes-tower-hills,Andes Tower Hills,no Wikipedia article
antelope-butte,Antelope Butte,no public breakdown
apple-mountain,Apple Mountain,no public breakdown
ascutney-outdoors,Ascutney Outdoors,small nonprofit area no public breakdown
badger-mountain-wa,Badger Mountain Ski Area,no public breakdown
badger-pass,Badger Pass Ski Area (Yosemite),no public breakdown verified
bear-basin-nordic-center,Bear Basin Nordic Center,nordic center not alpine
bear-creek-mountain-resort,Bear Creek Mountain Resort,no pct breakdown found
bear-mountain,Bear Mountain,no public breakdown verified
bear-paw,Bear Paw Ski Bowl,no public breakdown
bear-valley-adventure-company,Bear Valley Adventure Company,not an alpine ski area
beartooth-basin,Beartooth Basin Summer Ski Area,summer-only training area no breakdown
bethel-village-trails,Bethel Village Trails,not an alpine ski area
big-bear-ca,Big Bear Mountain Resort,no public breakdown verified
big-boulder,Big Boulder,"vail-owned, no pct breakdown found"
big-squaw-mountain,Big Moose Mountain,no public breakdown
big-rock,Big Rock,no public breakdown
bittersweet-ski-resort,Bittersweet Ski Resort,no public breakdown
black-mountain-nh,Black Mountain (NH),no public breakdown
black-mountain-of-maine,Black Mountain of Maine,no pct breakdown found
black-area,Black Mountain Ski Area,no public breakdown
blackjack-mountain,Blackjack Mountain,no public breakdown
bolton-valley,Bolton Valley,no pct breakdown found
boston-mills,Boston Mills Ski Resort,vail-owned no pct breakdown found
bousquet-mountain,Bousquet Mountain,no pct breakdown found
boyne-mountain,Boyne Mountain Resort,no pct breakdown found
brandywine,Brandywine Ski Resort,vail-owned no pct breakdown found
bridger-bowl,Bridger Bowl Ski Area,no pct breakdown found
bruce-mound-winter-sports-area,Bruce Mound Winter Sports Area,no public breakdown
buena-vista,Buena Vista Ski Area,no public breakdown
buffalo-ski-club,Buffalo Ski Club,no public breakdown
caberfae-peaks,Caberfae Peaks,no pct breakdown found
camden-snow-bowl,Camden Snow Bowl,no pct breakdown found
camp-10-area,Camp 10 Ski Area,no public breakdown
campgaw-mountain,Campgaw Mountain,no pct breakdown found
campton-mountain,Campton Mountain,no public breakdown
canaan-valley-resort,Canaan Valley Resort,no exact pct breakdown found
cannonsburg,Cannonsburg Ski Area,no public breakdown
catamount-outdoor-family-center,Catamount Outdoor Family Center,not an alpine ski area
chapman-hill,Chapman Hill Ski Area,small municipal area no breakdown
china-peak,China Peak Mountain Resort,no pct breakdown found
christie,Christie Mountain,no public breakdown
christmas-mountain,Christmas Mountain Village,no public breakdown
cloudmont-ski-resort,Cloudmont Ski Resort,no public breakdown
cochrans-ski-area,Cochran's Ski Area,no public breakdown
cooper-spur,Cooper Spur Mountain Resort,no public breakdown
cooper-spur-area,Cooper Spur Ski Area,no public breakdown
cottonwood-butte,Cottonwood Butte,no public breakdown
cranor-ski-hill,Cranor Ski Hill,town-operated hill no breakdown
crosscut-sports-center,Crosscut Mountain Sports Center,nordic/XC center
crotched-mountain,Crotched Mountain,vail-owned; no public breakdown
crystal,Crystal Mountain,MI; no breakdown in wiki
crystal-ridge,Crystal Ridge,no public breakdown
cuchara,Cuchara,no public breakdown
detroit,Detroit Mountain,no public breakdown
detroit-mountain,Detroit Mountain Recreation Area,no public breakdown
devils-head,Devil's Head Resort,no pct breakdown in wiki
diamond-peak,Diamond Peak,no public breakdown found
discovery,Discovery Ski Area,no pct breakdown in wiki
dodge-ridge,Dodge Ridge,no public breakdown found
dog-creek-lodge-nordic-center,Dog Creek Lodge & Nordic Center,nordic/XC center
dry-hill-area,Dry Hill Ski Area,no public breakdown
eagle-point,Eagle Point Resort,no public breakdown found
eagle-rock-resort,Eagle Rock Resort,no public breakdown
echo-valley,Echo Valley Ski Area,no public breakdown
elko-snobowl,Elko SnoBowl,community hill no breakdown
enchanted-forest-xc,Enchanted Forest XC,nordic/XC center
ferguson-ridge,Ferguson Ridge Ski Area,no public breakdown
four-lakes,Four Lakes Alpine Snowsports,no public breakdown
